id,release,task1,task2,coder1_summary_score,coder2_summary_score,coder1_discussion_score,coder2_discussion_score,coder1_conflict_score,coder2_conflict_score,coder1_overlap_score,coder2_overlap_score
1,3.2,276383,280540,Not,Not,Not,Not,Not,Not,No,No
2,3.2,276383,278569,Not,Not,Not,Not,Not,Not,No,No
3,3.2,267118,275095,Somewhat,Not,Somewhat,Somewhat,Not,Not,Some,Some
4,3.2,272191,272194,Not,Not,Not,Not,Not,Not,No,No
5,3.2,272191,280234,Not,Not,Not,Not,Not,Not,No,No
6,3.2,272191,276651,Not,Not,Not,Not,Not,Not,No,No
7,3.2,272191,272406,Not,Not,Not,Not,Not,Not,No,No
8,3.2,272191,274904,Not,Not,Not,Not,Not,Not,No,No
9,3.2,272191,278298,Not,Not,Not,Not,Not,Not,No,No
10,3.2,272191,277401,Not,Not,Somewhat,Not,Possible,Not,No,No
11,3.2,272191,276011,Somewhat,Somewhat,Somewhat,Not,Not,Not,No,No
12,3.2,272191,284172,Not,Not,Not,Not,Not,Not,No,No
13,3.2,272191,278708,Not,Not,Not,Not,Not,Not,No,No
14,3.2,272191,273522,Not,Not,Not,Not,Not,Not,No,No
15,3.2,272191,274790,Not,Not,Not,Not,Not,Not,Some,No
16,3.2,272194,280234,Not,Not,Not,Not,Not,Not,No,No
17,3.2,272194,276651,Not,Not,Not,Not,Not,Not,No,No
18,3.2,272194,272406,Somewhat,Not,Not,Not,Not,Not,Some,Some
19,3.2,272194,274904,Not,Not,Not,Not,Not,Not,No,No
20,3.2,272194,278298,Not,Not,Not,Not,Not,Not,No,No
21,3.2,272194,277401,Not,Not,Not,Not,Not,Not,No,No
22,3.2,272194,276011,Not,Not,Somewhat,Not,Not,Not,No,No
23,3.2,272194,284172,Not,Not,Not,Not,Not,Not,No,No
24,3.2,272194,278708,Not,Not,Not,Not,Not,Not,No,No
25,3.2,272194,273522,Not,Not,Somewhat,Not,Possible,Not,No,No
26,3.2,272194,274790,Not,Not,Not,Not,Not,Not,No,No
27,3.2,276581,277974,Not,Not,Not,Not,Not,Not,Some,Significant
28,3.2,276942,279054,Not,Not,Not,Not,Possible,Not,Some,Some
29,3.2,276942,279544,Not,Not,Not,Not,Not,Not,Some,No
30,3.2,276942,277191,Somewhat,Not,Not,Not,Possible,Not,Some,Some
31,3.2,276942,278330,Somewhat,Not,Not,Somewhat,Not,Not,Some,Some
32,3.2,276942,278331,Somewhat,Somewhat,Somewhat,Not,Possible,Not,Some,Significant
33,3.2,280234,284172,Not,Not,Not,Not,Not,Not,No,No
34,3.2,262799,272406,Somewhat,Not,Somewhat,Not,Possible,Not,Some,Some
35,3.2,262799,278697,Not,Somewhat,Not,Somewhat,Not,Possible,Some,Some
36,3.2,262799,274914,Somewhat,Not,Somewhat,Somewhat,Not,Possible,Some,Significant
37,3.2,262799,274903,Somewhat,Somewhat,Somewhat,Not,Possible,Not,Significant,Significant
38,3.2,262799,277405,Not,Not,Not,Not,Not,Not,Some,Some
39,3.2,262799,275777,Not,Not,Not,Not,Not,Not,No,No
40,3.2,262799,265565,Somewhat,Not,Not,Not,Not,Not,No,No
41,3.2,262799,272207,Not,Not,Not,Not,Not,Not,No,No
42,3.2,279382,281738,Not,Not,Not,Not,Not,Not,No,No
43,3.2,279382,280973,Not,Not,Not,Not,Not,Not,No,No
44,3.2,279382,280832,Not,Not,Not,Not,Not,Not,No,No
45,3.2,228910,278708,Not,Not,Not,Not,Not,Not,Some,No
46,3.2,228910,278485,Somewhat,Somewhat,Not,Somewhat,Possible,Not,Significant,Some
47,3.2,228910,279316,Somewhat,Somewhat,Not,Not,Not,Not,Some,Some
48,3.2,228910,283740,Somewhat,Not,Not,Not,Possible,Not,Significant,Significant
49,3.2,275550,283093,Not,Not,Not,Not,Not,Not,No,No
50,3.2,275550,275777,Not,Not,Not,Not,Not,Not,No,No
51,3.2,276383,276940,Not,Not,Not,Not,Not,Not,No,No
52,3.2,276383,276581,Not,Not,Not,Not,Not,Not,No,No
53,3.2,276383,276942,Not,Not,Not,Not,Not,Not,No,No
54,3.2,276383,280234,Not,Not,Not,Not,Not,Not,No,Significant
55,3.2,276383,283528,Not,Not,Not,Not,Not,Not,No,No
56,3.2,276383,279382,Not,Not,Not,Not,Not,Not,No,No
57,3.2,276383,280016,Not,Not,Not,Not,Not,Not,No,No
58,3.2,276383,280018,Not,Not,Not,Not,Not,Not,No,No
59,3.2,276383,277918,Not,Not,Not,Not,Not,Not,No,No
60,3.2,276383,279190,Not,Not,Not,Not,Not,Not,No,Significant
61,3.2,276383,277910,Not,Not,Not,Not,Not,Not,No,No
62,3.2,276383,279054,Not,Not,Not,Not,Not,Not,No,No
63,3.2,276383,279292,Not,Not,Not,Not,Not,Not,No,No
64,3.2,276383,280121,Not,Not,Not,Not,Not,Not,No,No
65,3.2,276383,280539,Not,Not,Not,Not,Not,Not,No,No
66,3.2,276383,277254,Not,Not,Not,Not,Not,Not,No,No
67,3.2,276383,276651,Not,Not,Not,Not,Not,Not,No,No
68,3.2,276383,279357,Not,Not,Not,Not,Not,Not,No,No
69,3.2,276383,280396,Not,Not,Not,Not,Not,Not,No,No
70,3.2,276383,282445,Not,Not,Not,Not,Not,Not,No,No
71,3.2,276383,276395,Not,Not,Not,Not,Not,Not,No,No
72,3.2,276383,283804,Not,Not,Not,Not,Not,Not,No,No
73,3.2,276383,277507,Not,Not,Not,Not,Not,Not,No,No
74,3.2,276383,276386,Not,Not,Not,Not,Not,Not,No,No
75,3.2,276383,280475,Not,Somewhat,Not,Not,Not,Not,No,No
76,3.2,276383,280180,Not,Not,Not,Not,Not,Not,No,No
77,3.2,276383,281524,Not,Not,Not,Not,Not,Not,No,No
78,3.2,276383,280561,Not,Not,Not,Not,Not,Not,No,No
79,3.2,276383,279544,Not,Not,Not,Not,Not,Not,No,No
80,3.2,276383,283955,Not,Not,Not,Not,Not,Not,No,No
81,3.2,276383,280474,Not,Not,Not,Not,Not,Not,No,No
82,3.2,276383,283956,Not,Not,Not,Not,Not,Not,No,No
83,3.2,276383,278697,Not,Not,Not,Not,Not,Not,No,No
84,3.2,276383,276539,Not,Not,Not,Not,Not,Not,No,No
85,3.2,276383,280179,Not,Not,Not,Not,Not,Not,No,No
86,3.2,276383,278534,Not,Not,Not,Not,Not,Not,No,No
87,3.2,276383,280172,Not,Not,Not,Not,Not,Not,No,No
88,3.2,276383,276994,Not,Not,Not,Not,Not,Not,No,No
89,3.2,276383,280361,Not,Not,Not,Not,Not,Not,No,No
90,3.2,276383,276998,Not,Not,Not,Not,Not,Not,No,No
91,3.2,276383,280570,Not,Not,Not,Not,Not,Not,No,No
92,3.2,276383,279536,Not,Not,Not,Not,Not,Not,No,No
93,3.2,276383,280366,Not,Not,Not,Not,Not,Not,No,No
94,3.2,276383,282577,Not,Not,Not,Not,Not,Not,No,No
95,3.2,276383,277957,Not,Not,Not,Not,Not,Not,No,No
96,3.2,276383,278688,Not,Not,Not,Not,Not,Not,No,No
97,3.2,276383,278522,Not,Not,Not,Not,Not,Not,No,No
98,3.2,276383,278133,Not,Not,Not,Not,Not,Not,No,No
99,3.2,276383,283933,Not,Not,Not,Not,Not,Not,No,No
100,3.2,276383,278684,Not,Not,Not,Not,Not,Not,No,No
101,3.1,264612,265682,Somewhat,Somewhat,Not,Somewhat,Possible,Possible,No,No
102,3.1,264611,266524,Not,Somewhat,Not,Not,Possible,Not,Significant,Some
103,3.1,239200,245270,Not,Not,Not,Not,Possible,Not,No,No
104,3.1,239200,245138,Not,Not,Not,Not,Not,Not,No,No
105,3.1,239200,245234,Somewhat,Somewhat,Not,Not,Not,Not,No,No
106,3.1,239200,261936,Not,Not,Not,Not,Not,Not,No,No
107,3.1,239200,254424,Not,Not,Not,Not,Not,Not,Some,Significant
108,3.1,239200,263814,Not,Not,Not,Not,Not,Not,No,No
109,3.1,239200,261977,Not,Not,Not,Not,Not,Not,No,No
110,3.1,239200,252925,Not,Not,Not,Not,Not,Not,No,No
111,3.1,239200,251235,Not,Not,Not,Not,Not,Not,Some,Significant
112,3.1,239200,247094,Not,Not,Not,Not,Not,Not,No,No
113,3.1,239200,256841,Not,Not,Not,Not,Not,Not,No,No
114,3.1,239200,247383,Somewhat,Not,Not,Not,Not,Not,No,No
115,3.1,239200,269425,Not,Not,Not,Not,Not,Not,No,No
116,3.1,239200,263870,Not,Not,Not,Not,Not,Not,No,No
117,3.1,239200,249662,Not,Not,Not,Not,Not,Not,No,No
118,3.1,239200,265080,Not,Not,Not,Not,Not,Not,No,No
119,3.1,239200,256838,Not,Not,Not,Not,Not,Not,No,No
120,3.1,239200,265938,Not,Not,Not,Not,Not,Not,Significant,Significant
121,3.1,239200,265688,Somewhat,Not,Not,Not,Not,Not,No,No
122,3.1,264718,265530,Somewhat,Not,Not,Not,Possible,Not,Significant,Some
123,3.1,250468,266869,Not,Not,Not,Not,Not,Not,No,No
124,3.1,264503,264612,Somewhat,Somewhat,Very,Somewhat,Possible,Possible,Significant,Significant
125,3.1,264503,264611,Somewhat,Somewhat,Somewhat,Somewhat,Possible,Possible,Significant,Significant
126,3.1,264503,266524,Somewhat,Somewhat,Somewhat,Somewhat,Possible,Possible,Significant,Significant
127,3.1,245757,245759,Not,Somewhat,Not,Not,Possible,Possible,Significant,Some
128,3.1,245757,246034,Somewhat,Not,Not,Somewhat,Not,Possible,Significant,Some
129,3.1,245757,263235,Not,Not,Not,Not,Not,Not,No,Some
130,3.1,263151,263627,Not,Somewhat,Not,Not,Not,Not,Some,Significant
131,3.1,258712,258717,Somewhat,Somewhat,Not,Not,Possible,Not,Some,Some
132,3.1,258712,263318,Somewhat,Not,Somewhat,Not,Not,Not,Significant,Some
133,3.1,258712,264092,Not,Not,Not,Not,Not,Not,Significant,Some
134,3.1,262674,263814,Not,Not,Not,Not,Not,Not,No,No
135,3.1,262674,266767,Not,Not,Not,Not,Not,Not,No,No
136,3.1,262674,269896,Not,Not,Not,Not,Not,Not,No,No
137,3.1,262674,269854,Not,Not,Not,Not,Not,Not,No,No
138,3.1,262674,269323,Not,Somewhat,Not,Not,Not,Not,No,No
140,3.1,259089,260485,Not,Not,Not,Not,Not,Not,No,No
141,3.1,259089,259786,Not,Not,Not,Not,Not,Not,Some,Some
142,3.1,261144,261240,Not,Not,Not,Not,Not,Not,No,No
143,3.1,261144,263814,Not,Not,Not,Not,Not,Not,No,No
144,3.1,261144,266403,Not,Somewhat,Not,Not,Not,Not,Significant,Significant
145,3.1,261144,267514,Not,Not,Not,Not,Not,Not,No,No
146,3.1,261144,269637,Not,Not,Not,Not,Not,Not,No,No
147,3.1,261144,269425,Not,Not,Not,Not,Not,Not,No,No
148,3.1,261144,266752,Not,Not,Not,Not,Not,Not,No,No
149,3.1,261144,265562,Not,Somewhat,Not,Somewhat,Not,Possible,Significant,Significant
150,3.1,243741,261144,Not,Not,Not,Not,Not,Not,No,No
151,3.1,243741,261240,Not,Not,Not,Not,Not,Not,No,No
152,3.1,243741,258571,Not,Not,Not,Not,Not,Not,No,No
153,3.1,243741,244653,Not,Not,Not,Not,Not,Not,No,No
154,3.1,243741,245270,Not,Not,Not,Not,Not,Not,No,No
155,3.1,243741,263814,Not,Not,Not,Not,Not,Not,No,No
156,3.1,243741,251177,Not,Not,Not,Not,Not,Not,No,No
157,3.1,243741,266403,Not,Not,Not,Not,Not,Not,No,No
158,3.1,243741,267514,Not,Not,Not,Not,Not,Not,No,No
159,3.1,243741,269637,Not,Not,Not,Not,Not,Not,No,No
160,3.1,243741,269425,Not,Not,Not,Not,Not,Not,No,No
161,3.1,243741,266752,Not,Not,Not,Not,Not,Not,No,No
162,3.1,243741,254982,Not,Very,Not,Not,Not,Not,No,No
163,3.1,243741,244442,Not,Not,Not,Not,Not,Not,No,No
164,3.1,243741,265562,Not,Not,Not,Not,Not,Not,No,No
165,3.1,243741,244579,Not,Not,Not,Not,Not,Not,Some,No
166,3.1,261240,263814,Not,Not,Not,Not,Not,Not,No,No
167,3.1,261240,266403,Not,Not,Not,Not,Not,Not,No,No
168,3.1,261240,267514,Not,Not,Not,Not,Not,Not,No,No
169,3.1,261240,269637,Not,Not,Not,Not,Not,Not,No,No
170,3.1,261240,269425,Not,Not,Not,Not,Not,Not,No,No
171,3.1,261240,266752,Not,Not,Not,Not,Not,Not,No,No
172,3.1,261240,265562,Not,Not,Not,Not,Not,Not,No,No
173,3.1,245191,259089,Not,Not,Not,Not,Not,Not,No,No
174,3.1,219241,244553,Not,Not,Somewhat,Somewhat,Not,Not,No,No
175,3.1,235265,261735,Somewhat,Not,Not,Not,Possible,Not,Significant,Some
176,3.1,204051,259710,Not,Not,Not,Not,Not,Not,No,No
177,3.1,204051,244903,Not,Not,Not,Not,Not,Not,No,No
178,3.1,204051,257825,Not,Not,Not,Not,Not,Not,No,No
179,3.1,204051,264612,Not,Not,Not,Not,Not,Not,No,No
180,3.1,204051,264611,Not,Not,Not,Not,Not,Not,No,No
181,3.1,204051,239200,Not,Not,Not,Not,Not,Not,No,No
182,3.1,204051,267415,Not,Not,Not,Not,Not,Not,No,No
183,3.1,204051,264718,Not,Not,Not,Not,Not,Not,No,No
184,3.1,204051,264005,Not,Not,Not,Not,Not,Not,No,No
185,3.1,204051,248057,Not,Not,Not,Not,Not,Not,No,No
186,3.1,204051,226536,Not,Not,Not,Not,Not,Not,No,No
187,3.1,204051,257816,Not,Not,Not,Not,Not,Not,No,No
188,3.1,204051,250468,Not,Not,Not,Not,Not,Not,No,No
189,3.1,204051,264503,Not,Not,Not,Not,Not,Not,No,No
190,3.1,204051,264601,Not,Not,Not,Not,Not,Not,No,No
191,3.1,204051,245757,Not,Not,Not,Not,Not,Not,No,No
192,3.1,204051,232348,Not,Not,Not,Not,Not,Not,No,No
193,3.1,204051,237396,Not,Not,Not,Not,Not,Not,No,No
194,3.1,204051,259873,Not,Not,Not,Not,Not,Not,No,No
195,3.1,204051,245759,Not,Not,Not,Not,Not,Not,No,No
196,3.1,204051,256774,Not,Not,Not,Not,Not,Not,No,No
197,3.1,204051,271852,Not,Not,Not,Not,Not,Not,No,No
198,3.1,204051,264329,Not,Not,Not,Not,Not,Not,No,No
199,3.1,204051,261238,Not,Not,Not,Not,Not,Not,No,No
200,3.1,204051,261136,Not,Not,Not,Not,Not,Not,No,No
201,3.1,204051,245002,Not,Not,Not,Not,Not,Not,No,No
202,3.1,204051,261236,Not,Not,Not,Not,Not,Not,No,No
203,3.1,204051,251987,Not,Not,Not,Not,Not,Not,No,No
204,3.1,204051,263150,Not,Not,Not,Not,Not,Not,No,No
205,3.1,204051,261231,Not,Not,Not,Not,Not,Not,No,No
206,3.1,204051,263151,Not,Not,Not,Not,Not,Not,No,No
207,3.1,204051,245186,Not,Not,Not,Not,Not,Not,No,No
208,3.1,204051,245187,Not,Not,Not,Not,Not,Not,Some,No
209,3.1,204051,258712,Not,Not,Not,Not,Not,Not,No,No
210,3.1,204051,245189,Not,Not,Not,Not,Not,Not,No,No
211,3.1,204051,262674,Not,Not,Not,Not,Not,Not,No,No
212,3.1,204051,263149,Not,Not,Not,Not,Not,Not,No,No
213,3.1,204051,256591,Not,Not,Not,Not,Not,Not,No,No
214,3.1,204051,256784,Not,Not,Not,Not,Not,Not,No,No
215,3.1,204051,258717,Not,Not,Not,Not,Not,Not,No,No
216,3.1,204051,259089,Not,Not,Not,Not,Not,Not,No,No
217,3.1,204051,256594,Not,Not,Not,Not,Not,Not,No,No
218,3.1,204051,267102,Not,Not,Not,Not,Not,Not,No,No
219,3.1,204051,258315,Not,Not,Not,Not,Not,Not,No,No
220,3.1,204051,251004,Not,Not,Not,Not,Not,Not,No,No
221,3.1,204051,261144,Not,Not,Not,Not,Not,Not,No,No
222,3.1,204051,245012,Not,Not,Not,Not,Not,Not,No,No
223,3.1,204051,262277,Not,Not,Not,Not,Not,Not,No,No
224,3.1,204051,267453,Not,Not,Not,Not,Not,Not,No,No
225,3.1,204051,267915,Not,Not,Not,Not,Not,Not,No,No
226,3.1,204051,243741,Not,Not,Not,Not,Not,Not,No,No
227,3.1,204051,261245,Not,Not,Not,Not,Not,Not,No,No
228,3.1,204051,261240,Not,Not,Not,Not,Not,Not,No,No
229,3.1,204051,264727,Not,Not,Not,Not,Not,Not,No,No
230,3.1,204051,271973,Not,Not,Not,Not,Not,Not,No,No
231,3.1,204051,238371,Not,Not,Not,Not,Not,Not,No,No
232,3.1,204051,245191,Not,Not,Not,Not,Not,Not,No,No
233,3.1,204051,219241,Not,Not,Not,Not,Not,Not,No,Some
234,3.1,204051,248042,Not,Not,Not,Not,Not,Not,No,No
235,3.1,204051,235265,Not,Not,Not,Not,Not,Not,No,No
236,3.1,204051,267112,Not,Not,Not,Not,Not,Not,No,No
237,3.1,204051,255794,Not,Not,Not,Not,Not,Not,No,No
238,3.1,204051,242651,Not,Not,Not,Not,Not,Not,No,No
239,3.1,204051,271925,Not,Not,Not,Not,Not,Not,No,No
241,3.1,204051,238268,Not,Not,Not,Not,Not,Not,No,No
242,3.1,204051,264345,Not,Not,Not,Not,Not,Not,No,No
243,3.1,204051,238319,Not,Not,Not,Not,Not,Not,No,No
244,3.1,204051,249280,Not,Not,Not,Not,Not,Not,No,No
245,3.1,204051,258571,Not,Not,Not,Not,Not,Not,No,No
246,3.1,204051,255283,Not,Not,Not,Not,Not,Not,No,No
247,3.1,204051,244653,Not,Not,Not,Not,Not,Not,No,No
248,3.1,204051,258369,Not,Not,Not,Not,Not,Not,No,No
249,3.1,204051,256530,Not,Not,Not,Not,Not,Not,No,No
250,3.1,204051,262292,Not,Not,Not,Not,Not,Not,No,No
251,3.2,277254,277405,Not,Not,Somewhat,Somewhat,Not,Possible,Some,Some
252,3.2,274790,278708,Somewhat,Somewhat,Somewhat,Somewhat,Possible,Possible,Some,No
253,3.2,265565,284172,Very,Somewhat,Very,Somewhat,Not,Possible,Significant,Some
254,3.2,277974,280973,Very,Somewhat,Very,Somewhat,definitely,Possible,Some,Some
255,3.2,272621,276231,Somewhat,Not,Somewhat,Somewhat,Possible,Possible,Some,Significant
256,3.2,233158,278494,Somewhat,Very,Somewhat,Not,Possible,Possible,Significant,Some
257,3.2,272621,275204,Somewhat,Not,Not,Somewhat,Possible,definitely,Some,Some
258,3.2,211096,233158,Somewhat,Somewhat,Somewhat,Somewhat,Possible,Not,Significant,Significant
259,3.2,208089,284172,Somewhat,Not,Somewhat,Somewhat,Possible,Not,Some,Some
260,3.2,255588,274904,Not,Not,Somewhat,Somewhat,Possible,Not,Some,Significant
261,3.2,276231,277889,Somewhat,Somewhat,Somewhat,Somewhat,Possible,Not,No,No
262,3.2,276232,278708,Somewhat,Not,Not,Not,Not,Not,No,No
263,3.2,267118,272194,Not,Not,Not,Not,Not,Not,No,Some
264,3.2,267118,275407,Not,Not,Not,Not,Not,Not,Some,Some
265,3.2,267118,278534,Not,Not,Not,Not,Not,Not,Some,Some
266,3.2,267118,274915,Not,Not,Not,Not,Not,Not,No,No
267,3.2,267118,272098,Not,Not,Not,Not,Not,Not,No,No
268,3.2,267118,272099,Not,Not,Not,Not,Possible,Not,Some,Some
269,3.2,267118,277405,Not,Not,Not,Not,Not,Not,No,No
270,3.2,267118,280973,Not,Not,Not,Not,Not,Not,Some,No
271,3.2,267118,278575,Not,Not,Not,Not,Not,Not,No,No
272,3.2,267118,278169,Not,Not,Not,Not,Not,Not,No,No
273,3.2,267118,275506,Not,Not,Not,Not,Not,Not,Some,No
274,3.2,267118,281122,Not,Not,Not,Not,Not,Not,No,Some
275,3.2,267118,277970,Not,Not,Not,Not,Not,Not,No,No
276,3.2,267118,277974,Not,Not,Not,Not,Not,Not,No,No
277,3.1,263151,263930,Somewhat,Not,Somewhat,Not,Not,Not,No,No
278,3.1,265163,265682,Not,Not,Somewhat,Somewhat,Not,Possible,No,No
279,3.1,242445,244653,Somewhat,Not,Not,Somewhat,Not,Possible,Some,Some
280,3.1,246034,248643,Somewhat,Somewhat,Somewhat,Somewhat,Not,Possible,Significant,Significant
281,3.1,245138,247383,Not,Not,Not,Not,Possible,Not,Some,Some
282,3.1,245823,264847,Somewhat,Not,Somewhat,Somewhat,Possible,Possible,No,No
283,3.1,238789,248376,Somewhat,Somewhat,Somewhat,Very,Possible,definitely,Significant,Significant
284,3.1,212967,217530,Somewhat,Somewhat,Somewhat,Somewhat,Possible,Possible,Some,Some
285,3.1,245343,256809,Not,Not,Somewhat,Very,Possible,definitely,Some,Some
286,3.1,258559,259786,Not,Not,Not,Very,Not,definitely,Some,Some
287,3.1,241750,242977,Not,Somewhat,Not,Somewhat,Not,Possible,No,Some
288,3.1,232664,245234,Somewhat,Very,Somewhat,Somewhat,Possible,Possible,Some,No
289,3.1,251177,264503,Somewhat,Somewhat,Somewhat,Somewhat,Possible,Possible,Some,Some
290,3.1,212960,269854,Somewhat,Somewhat,Not,Not,Possible,Not,Significant,Some
291,3.1,263318,264241,Somewhat,Somewhat,Not,Somewhat,Possible,Possible,Some,Some
292,3.1,250070,256530,Somewhat,Somewhat,Somewhat,Not,Possible,Not,Some,No
293,3.1,245823,247213,Somewhat,Very,Somewhat,Somewhat,Possible,Possible,Significant,Some
294,3.1,244553,265914,Somewhat,Somewhat,Somewhat,Somewhat,Possible,Possible,Significant,Significant
295,3.1,226618,263814,Not,Not,Somewhat,Not,Possible,Not,Some,Some
296,3.1,162610,245002,Not,Not,Not,Not,Not,Not,No,No
297,3.1,162610,260475,Not,Not,Not,Not,Not,Not,No,No
298,3.1,162610,266752,Not,Not,Not,Not,Not,Not,No,No
299,3.1,162610,256838,Not,Not,Not,Not,Not,Not,No,No
300,3.1,162610,265688,Not,Not,Not,Not,Not,Not,No,No
301,3.1,162610,245740,Not,Not,Not,Not,Not,Not,No,No
302,3.1,259710,262500,Not,Not,Not,Not,Not,Not,No,No
303,3.1,259710,261735,Not,Not,Not,Not,Not,Not,No,No
304,3.1,259710,265938,Not,Not,Not,Not,Not,Not,No,No
305,3.1,259710,264847,Not,Not,Not,Not,Not,Not,No,No
306,3.1,259710,264079,Not,Not,Not,Not,Not,Not,No,No
307,3.1,259710,265688,Not,Not,Not,Not,Not,Not,No,No
308,3.1,244903,259710,Not,Not,Not,Not,Not,Not,No,No
309,3.1,244903,258712,Not,Not,Not,Not,Not,Not,No,No
310,3.1,244903,256594,Not,Not,Not,Not,Not,Not,No,No
311,3.1,244903,267102,Not,Not,Not,Not,Not,Not,No,No
312,3.1,244903,267915,Not,Somewhat,Not,Not,Not,Not,No,No
313,3.1,244903,248042,Not,Not,Not,Not,Not,Not,No,No
314,3.1,244903,246149,Not,Not,Not,Not,Not,Not,No,No
315,3.1,244903,263126,Not,Not,Not,Not,Not,Not,No,No
316,3.1,244903,261944,Not,Not,Not,Not,Not,Not,No,No
317,3.1,244903,266693,Not,Not,Not,Not,Not,Not,No,No
318,3.1,244903,248364,Not,Not,Not,Not,Not,Not,No,No
319,3.1,244903,248490,Not,Not,Not,Not,Not,Not,No,No
320,3.1,244903,263318,Not,Not,Not,Not,Not,Not,No,No
321,3.1,244903,259877,Not,Not,Not,Not,Not,Not,No,No
322,3.1,244903,260918,Not,Not,Not,Not,Not,Not,No,No
323,3.1,244903,247182,Not,Not,Not,Not,Not,Not,No,No
324,3.1,244903,267508,Somewhat,Not,Not,Not,Not,Not,No,No
325,3.1,244903,284173,Not,Not,Not,Not,Not,Not,No,No
326,3.1,244903,254397,Not,Not,Not,Not,Not,Not,No,No
327,3.1,244903,251657,Not,Not,Not,Not,Not,Not,No,No
328,3.1,257825,258712,Somewhat,Not,Somewhat,Not,Possible,Not,No,No
329,3.1,257825,258717,Not,Not,Not,Not,Not,Not,No,No
330,3.1,257825,271018,Not,Not,Not,Not,Not,Not,No,No
331,3.1,257825,260485,Not,Not,Not,Not,Not,Not,No,No
332,3.1,257825,269803,Not,Not,Not,Not,Not,Not,No,No
333,3.1,257825,259289,Not,Not,Not,Not,Not,Not,No,No
334,3.1,257825,259047,Not,Not,Not,Not,Possible,Not,No,No
335,3.1,257825,268524,Not,Not,Not,Not,Not,Not,No,No
336,3.1,257825,259791,Not,Not,Not,Not,Not,Not,No,No
337,3.1,257825,260917,Not,Not,Not,Not,Possible,Not,No,No
338,3.1,257825,267508,Not,Not,Not,Not,Possible,Not,No,No
339,3.1,257825,260963,Not,Not,Not,Not,Not,Not,No,No
340,3.1,257825,260552,Not,Not,Not,Not,Possible,Not,No,No
341,3.1,257825,264092,Not,Not,Not,Not,Possible,Not,No,No
342,3.1,257825,265346,Not,Not,Not,Not,Not,Not,No,No
343,3.1,264612,264718,Not,Not,Not,Not,Not,Not,No,No
344,3.1,264612,271973,Not,Not,Not,Not,Possible,Not,No,No
345,3.1,264612,267112,Not,Not,Not,Not,Not,Not,No,No
346,3.1,264612,271925,Not,Not,Not,Not,Not,Not,No,No
347,3.1,264612,268597,Not,Not,Not,Not,Not,Not,No,No
348,3.1,264612,271019,Not,Not,Not,Not,Not,Not,No,No
349,3.1,264612,271818,Not,Not,Not,Somewhat,Possible,Not,No,No
350,3.1,264612,268473,Not,Not,Somewhat,Not,Not,Not,No,No
351,3.1,264612,266693,Not,Not,Not,Not,Not,Not,No,No
352,3.1,264612,266692,Not,Not,Not,Not,Not,Not,No,No
